,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
358,Y C Fung,2015/2016,0.0,0.0,0.0,0.0
359,Y C Fung,2016/2017,0.0,0.0,0.0,0.0
360,Y Hatakeyama,2018/2019,0.0,0.0,0.0,0.0
361,Y Hatakeyama,2019/2020,100.0,0.0,0.0,0.0
362,Y Ikee,2014/2015,0.0,0.0,0.0,0.0
363,Y Ikee,2015/2016,0.0,0.0,0.0,100.0
364,Y Ikee,2016/2017,0.0,0.0,0.0,50.0
365,Y Ikee,2017/2018,0.0,0.0,0.0,50.0
366,Y Ikee,2018/2019,0.0,0.0,0.0,0.0
367,Y Ikee,2019/2020,0.0,0.0,0.0,0.0
368,Y S Tsui,2013/2014,0.0,0.0,0.0,0.0
369,Y S Tsui,2014/2015,7.31,8.46,7.69,7.31
370,Y S Tsui,2015/2016,7.33,8.35,8.35,9.37
371,Y S Tsui,2016/2017,7.91,9.35,6.83,7.91
372,Y S Tsui,2017/2018,6.84,6.32,10.7,7.37
373,Y S Tsui,2018/2019,7.69,8.85,7.69,7.69
374,Y S Tsui,2019/2020,7.17,5.7,6.07,8.82
375,Y S Tsui,2020/2021,5.53,7.87,7.37,6.2
376,Y Takahashi,2017/2018,0.0,0.0,0.0,0.0
377,Y Takahashi,2018/2019,0.0,0.0,0.0,100.0
378,Y Tomomichi,2018/2019,0.0,0.0,0.0,0.0
379,Y Tomomichi,2019/2020,0.0,100.0,0.0,0.0
380,Y Yahagi,2013/2014,0.0,0.0,0.0,0.0
381,Y Yahagi,2014/2015,0.0,0.0,0.0,0.0
382,Y Yahagi,2018/2019,0.0,0.0,100.0,0.0
383,de Royer Dupre,2013/2014,0.0,0.0,0.0,0.0
384,de Royer Dupre,2015/2016,0.0,0.0,0.0,0.0
385,de Royer Dupre,2016/2017,0.0,0.0,100.0,0.0
386,de Royer Dupre,2019/2020,0.0,0.0,100.0,0.0
